r,N,K,Mpad,pad_actual,dx,dt,T,nsteps,runtime,stable,t,phase_error,relL2_dynamic,relL2_total,relL2_representation,relLinf_dynamic,dM,dQ,min_u,max_u
3,128,42,384,3.0,0.46875,0.0004,0.1,250,0.0627033710479736,True,0.1,0.00106338056489,0.031134556934539,0.0364619500388173,0.0189858521895132,0.0341163476765837,3.2738659168453397e-16,-5.803358725829549e-06,-0.0477393212680127,1.3106349471296528
3,256,85,768,3.0,0.234375,5e-05,0.1,2000,0.6153945922851562,True,0.1,-0.0022255434948971,0.007499665554863,0.0085162685870511,0.0040351905823309,0.0142544127456979,3.2578248995560625e-16,-7.186765905930889e-07,-0.0184988451904394,1.3226094996195448
3,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.294142007827759,True,0.1,-0.0016592083989643,0.0098860834905673,0.0102315102823824,0.0026362539930192,0.0176251610953972,-3.319559576688138e-14,-1.8749259719074318e-07,-0.0227337709741272,1.3266574403836469
3,512,170,1536,3.0,0.1171875,6.25e-06,0.1,16000,6.46369481086731,True,0.1,0.0002235514270163,0.0056710772600242,0.0066019832471466,0.003380152801447,0.0089848429946198,1.6266086244827556e-16,-2.1394540317126386e-08,-0.0161593785808295,1.3301773584603191
5,128,42,384,3.0,0.46875,0.0004,0.1,250,0.0630562305450439,True,0.1,0.0352418096488011,0.0289800937874403,0.0414487049297881,0.0296460357278981,0.0365953524426258,0.0,-3.5565223477948384e-06,-0.0395630641495564,1.2854016331483906
5,256,85,768,3.0,0.234375,5e-05,0.1,2000,0.6267850399017334,True,0.1,-0.0066629138436781,0.0153917965233689,0.0219168049079631,0.0156043783377908,0.0358218336144202,0.0,-1.3864519157266538e-07,-0.0180668008143454,1.3146898285486452
5,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.496122121810913,True,0.1,0.0010924820224462,0.0071418241747129,0.0111182662962028,0.0085213787974685,0.016996737876696,-1.7758796911244099e-13,2.743000936798656e-08,-0.0118259798783881,1.325319205947847
5,512,170,1536,3.0,0.1171875,6.25e-06,0.1,16000,6.8520989418029785,True,0.1,-0.0030081956939595,0.0082443505416212,0.0100719701268448,0.005785978035608,0.0164268164653881,5.79404064294479e-16,-1.8434917176700098e-07,-0.0294577416839618,1.3251384754811837
