r,lo,hi,slope
3,250,2500,-1.8015875398736727
3,500,5000,-1.800023144792602
3,1000,10000,-1.7999202343860385
3,2000,20000,-1.8077848146069737
5,250,2500,-1.6641743924905497
5,500,5000,-1.6664107139684348
5,1000,10000,-1.669213175471254
5,2000,20000,-1.6725031680630595
