r,N,K,Mpad,pad_actual,dx,dt,T,nsteps,runtime,stable,t,phase_error,relL2_dynamic,relL2_total,relL2_representation,relLinf_dynamic,dM,dQ,min_u,max_u,dtfactor
3,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.340874195098877,True,0.1,-0.0016592083989643,0.0098860834905673,0.0102315102823824,0.0026362539930192,0.0176251610953972,-3.319559576688138e-14,-1.8749259719074318e-07,-0.0227337709741272,1.3266574403836469,1.0
3,384,128,1152,3.0,0.15625,7.406858751203615e-06,0.1,13501,4.659217357635498,True,0.1,-0.0016592086611482,0.0098860844871779,0.0102315112425893,0.0026362539823437,0.0176251642739688,-5.53259929448023e-14,-1.8749275968233967e-07,-0.0227337751457693,1.3266574154347648,0.5
3,384,128,1152,3.0,0.15625,3.7035665345727937e-06,0.1,27001,9.758132696151732,True,0.1,-0.0016592091616764,0.0098860845478396,0.0102315112959519,0.0026362539619634,0.0176251645388961,-1.1032653887228225e-13,-1.8749874137610334e-07,-0.0227337754066363,1.3266574138686065,0.25
5,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.496122121810913,True,0.1,0.0010924820224462,0.0071418241747129,0.0111182662962028,0.0085213787974685,0.016996737876696,-1.7758796911244099e-13,2.743000936798656e-08,-0.0118259798783881,1.325319205947847,1.0
5,384,128,1152,3.0,0.15625,7.406858751203615e-06,0.1,13501,5.101597309112549,True,0.1,0.0010924779991151,0.0071418219419265,0.0111182648001273,0.0085213787166375,0.0169967307551016,-3.5112670114414225e-13,2.7444730115310882e-08,-0.0118259609681033,1.3253191467214829,0.5
5,384,128,1152,3.0,0.15625,3.7035665345727937e-06,0.1,27001,9.929134607315063,True,0.1,0.0010924781533723,0.0071418217942089,0.0111182647076231,0.0085213787197367,0.0169967302097944,-7.288626745331453e-13,2.743891684110156e-08,-0.0118259599039039,1.325319142929399,0.25
