r,N,K,Mpad,pad_actual,dx,dt,T,nsteps,runtime,stable,t,phase_error,relL2_dynamic,relL2_total,relL2_representation,relLinf_dynamic,dM,dQ,min_u,max_u
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.09999851854046606,-0.0016591894154880662,0.009885924314290232,0.010231341139731181,0.0026361944459399374,0.017625426938185692,-2.4408526299177487e-14,-1.875108368724495e-07,-0.022733858562290238,1.3266581231796364
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.1999970370809321,0.0003394950344572124,0.010333604110885323,0.010853514966320171,0.003319124823238104,0.014775816399854818,-5.1908799262917455e-14,-2.489203365295593e-09,-0.02712785646886367,1.3266295131451926
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.2999955556213982,-0.001473267001994091,0.003823241191131505,0.00664841382708191,0.005439178766574172,0.010185173221657157,-8.103630731326925e-14,1.056202817610045e-07,-0.022274498727745347,1.3300721077490585
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.3999940741618642,-0.0030326932285923295,0.008702600438146505,0.008985908420542562,0.002238677135465269,0.01496897725276593,-1.0609572764709148e-13,-2.9597738535398976e-07,-0.02393800769518182,1.3249275250257648
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.4999925927023303,0.00011945551839450316,0.009384150947589423,0.010245875120509684,0.004113047257395685,0.012433898521662521,-1.3424689464547618e-13,7.341626895238415e-09,-0.023459202560809272,1.3285089795379303
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.6000059258381357,-0.0013958659107022803,0.0031249656303005764,0.005446113708752054,0.004460374269086996,0.00690800150404457,-1.5979448550528196e-13,-4.621040290263755e-08,-0.010496924383677397,1.328561784865368
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.7000044443786018,-0.0021739766706190987,0.00892591531051727,0.009198920129092757,0.0022245362825832325,0.01109184426587472,-1.8794565250366666e-13,-2.2733519737650794e-07,-0.01689231524402388,1.325068638941716
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.8000029629190678,1.581143869551129e-05,0.010964961054304072,0.012067096566228133,0.005038601092061901,0.013598801218537765,-2.164222665193737e-13,2.411988925043042e-07,-0.023994802513466015,1.3284218174552465
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,0.9000014814595338,-0.0016419543331913072,0.00522189066517078,0.006348987199069918,0.0036113504346752135,0.011901032554169253,-2.379017696626499e-13,-9.268121029165122e-08,-0.015189764748943605,1.3272756394759537
3,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,24.20327377319336,True,1.0,-0.0031991080597640444,0.007202891147204358,0.00765134349247117,0.0025810389350897156,0.012146931257992953,-2.6881923630827475e-13,-2.9744223955694536e-07,-0.020841646406712606,1.3270949566030512
