r,max_dynamic_L2,final_dynamic_L2,max_total_L2,final_total_L2,max_abs_phase,final_phase,effective_speed_bias,max_abs_dM,max_abs_dQ,min_u
3,0.010964961054304,0.0072028911472043,0.0120670965662281,0.0076513434924711,0.003199108059764,-0.003199108059764,-0.0011650310953726219,2.688192363082748e-13,2.974422395569454e-07,-0.0271278564688636
5,0.0145647079292457,0.0102255635497634,0.0160828065684537,0.0132761662528102,0.009161805898016,-0.0044947456523975,-0.005987392787341769,1.8537792997253068e-12,1.5236929802763867e-06,-0.0506425943080872
