r,N,K,Mpad,pad_actual,dx,dt,T,nsteps,runtime,stable,t,phase_error,relL2_dynamic,relL2_total,relL2_representation,relLinf_dynamic,dM,dQ,min_u,max_u
3,384,128,768,2.0,0.15625,1.4812620352540363e-05,0.1,6751,2.055854797363281,True,0.1,-0.0016615125938435,0.0098908385695143,0.0102360807066878,0.0026361601754244,0.017628037925543,-2.896478454169062e-14,-1.9492239231881367e-07,-0.0227371716737479,1.326655404208937
3,384,128,960,2.5,0.15625,1.4812620352540363e-05,0.1,6751,2.134518623352051,True,0.1,-0.001659235863815,0.009884700649836,0.0102301738551801,0.0026362528747144,0.0176264104190071,-2.668665542043405e-14,-1.754967502790079e-07,-0.022735424330663,1.3266596954038867
3,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.294142007827759,True,0.1,-0.0016592083989643,0.0098860834905673,0.0102315102823824,0.0026362539930192,0.0176251610953972,-3.319559576688138e-14,-1.8749259719074318e-07,-0.0227337709741272,1.3266574403836469
3,384,128,1536,4.0,0.15625,1.4812620352540363e-05,0.1,6751,2.570432424545288,True,0.1,-0.0016594202583381,0.0098862633658759,0.0102316818613838,0.0026362453666269,0.0176258457954394,-3.0917466645624816e-14,-1.855231240970613e-07,-0.0227346414067632,1.3266583255734457
3,384,128,2304,6.0,0.15625,1.4812620352540363e-05,0.1,6751,3.274766206741333,True,0.1,-0.0016594318367391,0.009886424555972,0.0102318374872969,0.0026362448951848,0.0176254936048289,-2.5384867351144587e-14,-1.8662119076796852e-07,-0.0227341718124842,1.3266585995583824
5,384,128,768,2.0,0.15625,1.4812620352540363e-05,0.1,6751,2.135037422180176,True,0.1,0.001092153109467,0.0071402024463929,0.0111172196584894,0.0085213721894548,0.0169963948671265,-1.854936224605518e-13,1.969157907507202e-08,-0.0118345392275854,1.32531657546023
5,384,128,1152,3.0,0.15625,1.4812620352540363e-05,0.1,6751,2.496122121810913,True,0.1,0.0010924820224462,0.0071418241747129,0.0111182662962028,0.0085213787974685,0.016996737876696,-1.7758796911244099e-13,2.743000936798656e-08,-0.0118259798783881,1.325319205947847
5,384,128,1536,4.0,0.15625,1.4812620352540363e-05,0.1,6751,2.817277193069458,True,0.1,0.0010924463614099,0.0071414156937804,0.0111180033826277,0.0085213780810175,0.0169952226600959,-1.8356541432686624e-13,2.7368343641163132e-08,-0.0118251411806423,1.325319400201125
5,384,128,2304,6.0,0.15625,1.4812620352540363e-05,0.1,6751,3.669086217880249,True,0.1,0.0010925793087373,0.0071413605220708,0.0111179699939773,0.0085213807520135,0.0169948672040239,-1.8028746049960082e-13,2.720254035215096e-08,-0.0118252329043021,1.3253195954178023
