r,N,K,Mpad,pad_actual,dx,dt,T,nsteps,runtime,stable,t,phase_error,relL2_dynamic,relL2_total,relL2_representation,relLinf_dynamic,dM,dQ,min_u,max_u
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.09999851854046606,0.0010931370380322359,0.00714211546075747,0.01111844066806856,0.008521362194006399,0.016996327243048556,-1.8491516002044614e-13,2.7497691846375934e-08,-0.01182856247353509,1.3253221698220439
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.1999970370809321,-0.0007242720519203869,0.008850369914221778,0.012501217028844587,0.00882935365241071,0.012022237622866106,-3.787000774558459e-13,4.3918857428385267e-07,-0.025956974907981673,1.3195746522532454
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.2999955556213982,0.000981120037763631,0.011833193171962271,0.012897045033241569,0.005129619323822831,0.023943326602622265,-5.638080582896606e-13,-1.1930318946426766e-06,-0.03029500918817451,1.3214457002406368
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.3999940741618642,-0.0017466567796519791,0.010964453330665388,0.013760964218196626,0.008315841083175598,0.028020837067014106,-7.554719467780062e-13,1.5236929802763867e-06,-0.05061897650718056,1.3169506476644375
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.4999925927023303,-0.009161805898016052,0.014564707929245782,0.016082806568453754,0.006821716919610308,0.028257596723962553,-9.382660778513982e-13,-6.090826968463547e-07,-0.05064259430808724,1.3175863602870885
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.6000059258381357,0.0019024113067460007,0.013664424044117718,0.015378240725151173,0.007055713902108351,0.031776773886035815,-1.1181678967242619e-12,-1.6249190253959425e-07,-0.04872103799585795,1.3188175519074647
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.7000044443786018,-0.0034911351866968757,0.012314912246095525,0.014855804268228471,0.008309532387182184,0.020897587830033208,-1.3028902359313395e-12,9.632143397991127e-07,-0.03739037815445319,1.3163741368314181
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.8000029629190678,-0.0064436395373698675,0.012187500696139372,0.01325726589441459,0.005217659388445622,0.016769491991593926,-1.4827920548042032e-12,-6.207931844425656e-07,-0.02609642223535353,1.3206367337610239
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,0.9000014814595338,-0.003182855065698764,0.012716143775975006,0.015522932848129917,0.008903591988564009,0.02550854842427641,-1.6588374574096957e-12,1.7684390309450792e-07,-0.027800676582466644,1.3202938375182214
5,384,128,1152,3.0,0.15625,1.4814595339328305e-05,1.0,67501,25.398812770843506,True,1.0,-0.004494745652397508,0.010225563549763492,0.013276166252810261,0.008467699674101128,0.02257014792375297,-1.8537792997253068e-12,4.721040378422914e-07,-0.035482446179157634,1.3198810558448928
